emotion,dimension_code,dimension_name,left_pole,right_pole,left_pole_score_0_1000,right_pole_score_0_1000,signed_score_m1000_to_p1000,direction_label,direction_code,confidence_0_1,note,model_used,status,error
abandoned,V,valence,negative,positive,885,115,-770,toward_left_pole,-1,0.95,Deeply unpleasant state associated with rejection and loss.,google/gemini-3-flash-preview,ok,
abandoned,A,arousal,low_activation,high_activation,520,480,-40,balanced,0,0.85,Can range from acute distress to lethargic despair.,google/gemini-3-flash-preview,ok,
abandoned,C,control,low_control,high_control,895,105,-790,toward_left_pole,-1,0.95,Characterized by a profound lack of agency and helplessness.,google/gemini-3-flash-preview,ok,
abandoned,U,uncertainty,expected_or_certain,uncertain_or_unpredictable,280,720,440,toward_right_pole,1,0.9,Involves high uncertainty regarding future support and stability.,google/gemini-3-flash-preview,ok,
abandoned,S,social_orientation,self_oriented,other_oriented,110,890,780,toward_right_pole,1,0.9,"Inherently social, defined by the severance of a bond with others.",google/gemini-3-flash-preview,ok,
adoring,V,valence,negative,positive,90,910,820,toward_right_pole,1,0.95,Adoration is a highly pleasant state of deep affection and love.,google/gemini-3-flash-preview,ok,
adoring,A,arousal,low_activation,high_activation,420,580,160,toward_right_pole,1,0.85,"It involves moderate activation, often characterized by focused warmth rather than high-energy excitement.",google/gemini-3-flash-preview,ok,
adoring,C,control,low_control,high_control,580,420,-160,toward_left_pole,-1,0.8,"The focus is on the object of affection, implying a slight surrender of agency to the beloved.",google/gemini-3-flash-preview,ok,
adoring,U,uncertainty,expected_or_certain,uncertain_or_unpredictable,790,210,-580,toward_left_pole,-1,0.85,Adoration typically stems from a place of deep familiarity and certain devotion.,google/gemini-3-flash-preview,ok,
adoring,S,social_orientation,self_oriented,other_oriented,60,940,880,toward_right_pole,1,0.98,This emotion is inherently directed toward another person or entity.,google/gemini-3-flash-preview,ok,
affectionate,V,valence,negative,positive,110,890,780,toward_right_pole,1,0.98,Highly pleasant state associated with warmth and love.,google/gemini-3-flash-preview,ok,
affectionate,A,arousal,low_activation,high_activation,580,420,-160,toward_left_pole,-1,0.92,"Moderate to low activation, typically calm and tender.",google/gemini-3-flash-preview,ok,
affectionate,C,control,low_control,high_control,320,680,360,toward_right_pole,1,0.85,High agency in expressing care and emotional connection.,google/gemini-3-flash-preview,ok,
affectionate,U,uncertainty,expected_or_certain,uncertain_or_unpredictable,820,180,-640,toward_left_pole,-1,0.88,"Usually involves a stable, predictable bond with another.",google/gemini-3-flash-preview,ok,
affectionate,S,social_orientation,self_oriented,other_oriented,60,940,880,toward_right_pole,1,0.99,Inherently directed toward another person or being.,google/gemini-3-flash-preview,ok,
afraid,V,valence,negative,positive,820,180,-640,toward_left_pole,-1,0.95,Highly unpleasant state characterized by perceived threat or danger.,google/gemini-3-flash-preview,ok,
afraid,A,arousal,low_activation,high_activation,220,780,560,toward_right_pole,1,0.9,High physiological activation involving increased heart rate and vigilance.,google/gemini-3-flash-preview,ok,
afraid,C,control,low_control,high_control,790,210,-580,toward_left_pole,-1,0.85,Low perceived agency or power to influence the threatening situation.,google/gemini-3-flash-preview,ok,
afraid,U,uncertainty,expected_or_certain,uncertain_or_unpredictable,180,820,640,toward_right_pole,1,0.8,High unpredictability regarding the outcome of the perceived threat.,google/gemini-3-flash-preview,ok,
afraid,S,social_orientation,self_oriented,other_oriented,650,350,-300,toward_left_pole,-1,0.7,"Primarily focused on self-preservation, though can involve social signaling.",google/gemini-3-flash-preview,ok,
aggrieved,V,valence,negative,positive,820,180,-640,toward_left_pole,-1,0.95,Reflects a state of resentment and perceived injustice.,google/gemini-3-flash-preview,ok,
aggrieved,A,arousal,low_activation,high_activation,420,580,160,toward_right_pole,1,0.85,Moderate activation involving simmering anger or distress.,google/gemini-3-flash-preview,ok,
aggrieved,C,control,low_control,high_control,690,310,-380,toward_left_pole,-1,0.9,Characterized by a sense of being wronged by external forces.,google/gemini-3-flash-preview,ok,
aggrieved,U,uncertainty,expected_or_certain,uncertain_or_unpredictable,760,240,-520,toward_left_pole,-1,0.8,"Usually involves a clear, certain cause for the grievance.",google/gemini-3-flash-preview,ok,
aggrieved,S,social_orientation,self_oriented,other_oriented,280,720,440,toward_right_pole,1,0.85,Inherently involves a social context of unfair treatment by others.,google/gemini-3-flash-preview,ok,
agitated,V,valence,negative,positive,790,210,-580,toward_left_pole,-1,0.95,Agitation is fundamentally unpleasant and associated with distress.,google/gemini-3-flash-preview,ok,
agitated,A,arousal,low_activation,high_activation,160,840,680,toward_right_pole,1,0.98,Characterized by high physiological arousal and restless energy.,google/gemini-3-flash-preview,ok,
agitated,C,control,low_control,high_control,720,280,-440,toward_left_pole,-1,0.9,Often involves a feeling of losing control over one's nerves or environment.,google/gemini-3-flash-preview,ok,
agitated,U,uncertainty,expected_or_certain,uncertain_or_unpredictable,380,620,240,toward_right_pole,1,0.85,Frequently stems from unpredictable stressors or internal instability.,google/gemini-3-flash-preview,ok,
